"name","id","dedicatee","type","location","city","country","orientation","date","startdateearly","startdatelate","century","sex","dedicationday","deitytype","extant","source","meetings","note","vici.org","pleiades","dare","arachne","wikipedia","wikidata","longitude","latitude"
"Mithraeum of the Campidoglio","1000092","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45675","","","",12.482628,41.89291
"Mithraeum of the Circus Maximus","1000093","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45670","","","",12.482856,41.888114
"Mithraeum of the Crypta Balbi","1000094","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE; coords updated","","","45674","","","",12.479176,41.894242
"Mithraeum of the Esquiline","1000095","Mithras","mithraeum","","Rome","Italy","","","","","","","","","","","","DARE","","","45671","","","",12.501063,41.894894
"Monte del Grano","1000096","","temple","","Rome","Italy","","","","","","","","","","","","","","422973","","","","",12.549292,41.865272
"Neptunus","1000097","Neptune","temple","Circus Flaminius","Rome","Italy","","-257-228","-257","-228","-3","M","","god","","","","","","","","3467478","","","",""
"Nymphaeum of the Villa dei Quintili","1000098","Nymphs","temple","","Rome","Italy","","","","","","F","","god","","","","DARE","","","23839","","","",12.5480362,41.8279699
"Nymphaeum Septizodium","1000099","Nymphs","temple","Campus Martius","Rome","Italy","","","","","","F","","god","","","","Vici.org","17962","","","","","Q1234446",12.488719,41.885632
"Nymphs","1000100","Nymphs","temple","","Rome","Italy","","","","","","F","","god","","","","","","","","6079","","",12.478714,41.895163
"Ops Opifera","1000101","Ops Opifera","temple","Capitoline Hill","Rome","Italy","","","","","","F","23","concept","","","","","","","","","","",12.478714,41.895163
"Pales","1000102","Pales","temple","Palatine Hill","Rome","Italy","","-267","-267","","-3","F","","god","","","","","","","","","","","",""
"Pantheon","1000103","Pantheon","temple","Campus Martius","Rome","Italy","354","126","126","","2","","","god","","","","Vici.org","7853","128044615","","5664","","Q99309",12.47685,41.89856
"Pax","1000104","Peace","temple","","Rome","Italy","","75","75","","1","F","","concept","","","","","","","","","","",12.4876,41.8926
"Penates","1000105","Penates","temple","Velian Hill","Rome","Italy","","-292-219","-292","-219","-3","M","","god","","","","","","","","10557","","","",""
