id,name,dedicatee,type,location,modernplace,ancientplace,pleiadesplace,country,latitude,longitude,orientation,compass,vowed,date,startdateearly,startdatelate,century,enddate,preceded,succeeded,sex,dedicationday,deitytype,culture,style,extant,source,meetings,note,vici,pleiades,dare,arachne,livius,wikipedia,wikidata,digitalromanforum,digitalesforumromanum,trismegistos,ads,cona,topostext,url,checked,gs
"1000045",Temple of Juno Moneta,Juno,temple,Capitoline Hill,Rome,Rome,"423025",IT,41.894009,12.483497,,,"-345","-344","-344",,"-4",,,,F,June 1,god,Roman,,,,,,,,,"3910432",,Temple_of_Juno_Moneta,Q951089,,,,,,419125SJuM,,,
"1000046",Temple of Juno Regina,Juno,temple,Aventine Hill,Rome,Rome,"423025",IT,41.88444,12.47972,,,"-396","-392","-392",,"-4",,,,F,September 1,god,Roman,,,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000047",Temple of Juno Regina,Juno,temple,Circus Flaminius,Rome,Rome,"423025",IT,41.893141,12.478602,"208",SW,,"-179","-179",,"-2",,,,F,December 23,god,Roman,,,,,,,,,"3467454",,,,,,,,,,,,
"1000048",Temple of Juno Sospita,Juno,temple,Forum Holitorium,Rome,Rome,"423025",IT,41.891093,12.479937,"71",E,,-197-194,"-197","-194","-2",,,,F,February 1,god,Roman,,,,,,,,,,,,,,,,,,419125SJuS,,,
"1000049",Temple of Jupiter,Jupiter,temple,,Rome,Rome,"423025",IT,41.840026,12.536854,,,,,,,,,,,M,,god,Roman,,,,,DARE,,,"37156",,,,,,,,,,,,,
"1000050",Capitolium,"Jupiter, Juno, Minerva",temple,,Jerusalem,Ierusalem,"687928",IL,31.776306,35.235619,"349",N,,"130","130",,"2",,,,M/F,,god,Roman,,no,,,,,,,,,,,,,,,,,,,
"1000051",Temple of Jupiter Damascenus,Jupiter,temple,,Damascus,Damascus,"678106",SY,33.510833,36.300833,,,,"14","14",,"1",,,,M,,god,Roman,,yes,Segal2013,,,,"245122016",,,,,,,,,,,,,,
"1000052",Temple of Jupiter,Jupiter,temple,,Yabrud,Iabrouda,"678196",SY,33.966667,36.666667,,,,,,,,,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000053",Temple of Jupiter Heliopolitanus,Jupiter,temple,,Baalbek,Heliopolis,"678179",LB,34.006839,36.203397,"76",E,,"135","135",,"2",,,,M,,god,Roman,,yes,,,,"16415",,,,place/heliopolis-baalbek/baalbek-photos/baalbek-temple-of-jupiter/,Temple_of_Jupiter_(Roman_Heliopolis),Q21079381,,,,,,,,yes,
"1000054",Temple of Jupiter Anxur,Jupiter,temple,,Terracina,Tarracina,"433143",IT,41.290817,13.260113,"175",S,,,,,,,,,M,,god,Roman,,,,,Coord from Google maps,"10868","433143","42343",,,,Q3983252,,,,,,413133SJAn,,,
"1000055",Temple of Jupiter Conservator,Jupiter,temple,Capitoline Hill,Rome,Rome,"423025",IT,,,,,,,,,,,,,M,,god,Roman,,,Stamper,,,,,,,,,,,,,,,,,,
"1000056",Temple of Jupiter Custos,Jupiter,temple,Capitoline Hill,Rome,Rome,"423025",IT,41.891825,12.481892,,,,,,,,,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000057",Temple of Jupiter Dolichenus,Jupiter,temple,Aventine Hill,Rome,Rome,"423025",IT,41.88319,12.4804,,,,,,,,,,,M,,god,Roman,,,Blake,,Location from Arachne,,,,"6074",,,,,,,,,,,,
"1000058",Temple of Jupiter Feretrius,Jupiter,temple,Capitoline Hill,Rome,Rome,"423025",IT,,,,,,-752-751,"-752","-751","-8",,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000059",Temple of Jupiter Heliopolitanus,Jupiter,temple,Janiculum,Rome,Rome,"423025",IT,,,,,,late 1st c. CE,"75","100","1",,,,M,November 29,god,Roman,,,Blake,,,,,,,,,,,,,,,,,,
"1000060",Temple of Jupiter Invictus,Jupiter,temple,Palatine Hill,Rome,Rome,"423025",IT,,,,,,-180-167,"-180","-167","-2",,,,M,,god,Roman,,,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000061",Temple of Jupiter Libertas,Jupiter,temple,Aventine Hill,Rome,Rome,"423025",IT,,,,,,"-246","-246",,"-3",,,,M,April 13,god,Roman,,,Ziolkowski,,,,,,,,,,,,,,,,,,
"1000062",Temple of Jupiter Capitolinus/Optimus Maximus,Jupiter,temple,Capitoline Hill,Rome,Rome,"423025",IT,41.892222,12.481667,"152",SE,,"-509","-509",,"-6",,,,M,September 13,god,Roman,,,Blake,senate,,"17971","871801169",,"3910430",,Temple_of_Jupiter_Optimus_Maximus,Q586468,,,,,,419125SJCa,,,
"1000063",Temple of Jupiter Patulaeius,Jupiter,temple,,Ostia Antica,Ostia,"422995",IT,,,,,,-299-200,"-299","-200","-3",,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000064",Temple of Jupiter,Jupiter,temple,,Pompei,Pompeii,"433032",IT,40.7499,14.4845,"157",SE,,mid-2nd c. BCE,"-175","-125","-2",,,,M,,god,Roman,,yes,,,,,"367026512",,,,,,,,,,,,,,
"1000066",Temple of Jupiter Stator,Jupiter,temple,ad portam Mugoniam,Rome,Rome,"423025",IT,41.890487,12.488793,,,"-294","-294","-292","-218","-3",,,,M,June 27,god,Roman,,,,senate,Tenative coordinates,,,,,,,,,,,,,,,,
"1000067",Temple of Jupiter Stator,Jupiter,temple,"Porticus Metelli, Circus Flaminius",Rome,Rome,"423025",IT,41.892897,12.479021,"208",SW,,"-146","-146",,"-2",,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000068",Temple of Jupiter Tonans,Jupiter,temple,Capitoline Hill,Rome,Rome,"423025",IT,,,,,,"-22","-22",,"-1",,,,M,September 1,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000069",Temple of Jupiter Victor,Jupiter,temple,Quirinal Hill,Rome,Rome,"423025",IT,,,,,"-295",-292-219,"-295","-291","-3",,,,M,April 13,god,Roman,,,Blake,,,,,,,,,,,,,,,,,,
"1000070",Temple of Jupiter/Baalshamin,"Jupiter, Baalshamin",temple,,Kedesh,Kadasa,"678215",IL,33.112906,35.531175,,,,,,,,,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000071",Temple of Juturna,Juturna,temple,Campus Martius,Rome,Rome,"423025",IT,41.895664,12.476876,"90",E,"-242",-242-219,"-242","-219","-3",,,,F,January 11,god,Roman,,,Ziolkowski,,Pleiades: Temple A,"39261",,,"5864",,,,,,,,,419125SFer,,,
"1000072",Temple of Juventas,Juventas,temple,Circus Maximus,Rome,Rome,"423025",IT,,,,,,"-193","-193",,"-2",,,,F,,concept,Roman,,,,,,,,,,,,,,,,,,,,,
"1000073",Temple of the Lares,Lares,temple,in summa Sacra Via,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,M,June 27,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000074",Temple of the Lares Permarini,Lares Permarini,temple,Campus Martius,Rome,Rome,"423025",IT,41.894983,12.476957,"90",E,,"-179","-179",,"-2",,,,M,,god,Roman,,,,,Pleiades: Temple D,"39263",,,"6516",,,,,,,,,419125SLPe,,,
"1000075",Temple of Luna,Luna,temple,Aventine Hill,Rome,Rome,"423025",IT,,,,,,-292-219,"-292","-219","-3",,,,F,March 31,nature,Roman,,,,,,,,,,,,,,,,,,,,,
"1000076",Temple of Mars,Mars,temple,Circus Flaminius,Rome,Rome,"423025",IT,,,,,,"-138","-138",,"-2",,,,M,,god,Roman,,,,,,,,,,,Temple_of_Mars,,,,,,,,,,
"1000077",Temple of Mars,Mars,temple,North Via Appia,Rome,Rome,"423025",IT,,,,,"-390","-388","-388",,"-4",,,,M,June 1,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000078",Temple of Mars Ultor,Mars,temple,Forum of Augustus,Rome,Rome,"423025",IT,41.894444,12.486944,"233",SW,,"-2","-2",,"-1",,,,M,,god,Roman,,,Stamper,,,,,,"5747",,it=Tempio_di_Marte_Ultore,Q679665,,,"43987",,,419125SMUl,,,
"1000079",Temple of Mater Matuta,Mater Matuta,temple,Forum Boarium,Rome,Rome,"423025",IT,41.89081,12.481398,"183",S,,"-368","-368",,"-4",,,,F,June 11,god,Roman,,,Stamper,,,,,,,,,,,,,,,419125SMMa,,,
"1000080",Temple of Matidia,Matidia,temple,Campus Martius,Rome,Rome,"423025",IT,41.899964,12.478081,,,,"119","119",,"2",,,,F,,family,Roman,,,Stamper,,,,,,,,,,,,,,,,,,
"1000081",Mausoleum of Romulus,,tomb,,Rome,Rome,"423025",IT,41.8550631,12.5181785,,,,early 4th c. CE,,,"4",,,,,,hero,Roman,,,,,DARE,,,"23842",,,,,,,,,,,,,
"1000082",Temple of Mercury,Mercury,temple,Aventine Hill,Rome,Rome,"423025",IT,,,,,,"-495","-495",,"-5",,,,M,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000083",Temple of Minerva,Minerva,temple,Aventine Hill,Rome,Rome,"423025",IT,,,,,-263-262,-263-260,"-263","-260","-3",,,,F,June 19,god,Roman,,,,,Vici.org,,,,,,,,,,,,,,,,
"1000084",Temple of Minerva Medica,Minerva,temple,Esquiline Hill,Rome,Rome,"423025",IT,,,,,,-399-300,"-399","-300","-4",,,,F,,god,Roman,,,,,,,,,,,,,,,,,,,,,
"1000085",Temple of Minerva,Minerva,temple,Forum of Nerva,Rome,Rome,"423025",IT,41.893664,12.487089,"228",SW,,,,,,,,,F,,god,Roman,,,Arachne,,,,,,"8405",,,,,,,,,,,,
