id,lat,long
"359268IKam - Caminia (Dodecanese)",35.89,26.82
"359272PSar - Saros (Karpathos)",35.888,27.232
"359279UIxi - Ixia (Rhodes)",35.93,27.861
"360328PAne - Anemourion (Cilicia)",36.028,32.803
"361281PLin - Lindos (Dodecanese)",36.0913,28.0882
"361296UMeg - Megiste (Dodecanese)",36.148,29.577
"362220HPho - Phoinikous (Kythera)",36.142,23.0041
"362231USka - Skandeia (Kythera)",36.2218,23.0579
"362252IAsc - Ascania (Cyclades)",36.2477,25.202
"362276ICha - Chalke (Khalki)",36.2243,27.585
"362276SApo - Chalki Apollo sanct. (Dodecanese)",36.2369,27.6148
"362279LAta - Atabyrion Mt. (Rhodes)",36.209,27.864
"362279SAta - Zeus Atabyrios (Rhodes)",36.2066,27.8647
"362295IRho - Rhoge (Kastelorizo)",36.1567,29.5025
"362362PAnt - Antioch (Syria)",36.2,36.165
"363223HAcL - Achilleios harbor (Lakonia)",36.423,22.474
"363230LPla - Platanistos cape (Kythera)",36.3852,22.9503
"363230PKyt - Cythera (Kythera)",36.2295,23.0291
"363233PSid - Side (Lakonia)",36.476,23.164
"363253IHie - Hiera or Thia (Thera)",36.397,25.381
"363254UEle - Eleusis (Thera)",36.3393,25.4409
"363258IHip - Hippouris? (Cyclades)",36.311,25.799
"363267ISyr - Syrnos (Rhodes)",36.335,26.669
"363277IDim - Dimastos (Rhodes)",36.253,27.6515
"363277IEul - Eulimna (Rhodes)",36.2805,27.7151
"363277INar - Narthecusa (Rhodes)",36.2635,27.677
"363279PKam - Kamiros (Rhodes)",36.3362,27.9212
"363293UPat - Patara/Arsinoe (Lycia)",36.2618,29.316
"363302PLim - Limyra (Lycia)",36.343,30.17
"363340WCal - Calycadnus R. (Cilicia)",36.316,34.04
"364225STai - Tainaron (Lakonia)",36.4018,22.4867
"364225UKyn - Kinaithion? cape (Lakonia)",36.4015,22.498
"364225UPsa - Psamathous (Lakonia)",36.4372,22.4824
"364232LMal - Malea cape (Lakonia)",36.436,23.198
"364232UNym - Nymphaion (Lakonia)",36.43,23.136
"364255IThe - Thera island (Cyclades)",36.406,25.454
"364255PThe - Thera polis (Cyclades)",36.364,25.477
"364255UOia - Oia (Thera)",36.3767,25.4801
"364258PAna - Anaphe (Cyclades)",36.359,25.799
"364258SApo - Apollo Aigletes (Anaphe)",36.358,25.83
"364282IRho - Rhodes (Dodecanese)",36.4408,28.2244
"364282PIal - Ialysos (Dodecanese)",36.399,28.143
"364292LKra - Kragos Mt. (Lycia)",36.3805,29.1931
"364292USid - Sidyma (Lycia)",36.4107,29.1928
"364293PXan - Xanthos (Lycia)",36.3565,29.3182
"364297PPhe - Phellos (Lycia)",36.423,29.663
"364339PSel - Seleucia (Cilicia)",36.3765,33.9165
"365-063PGad - Gadeira (Spain)",36.499,-6.266
"365224LThy - Thyrides cape (Lakonia)",36.5,22.37
"365224UHip - Hippola (Lakonia)",36.504,22.3623
"365224UKai - Kainepolis (Lakonia)",36.4604,22.4427
"365224UMes - Messa? (Lakonia)",36.541,22.367
"365229LOno - Onougnathos cape (Lakonia)",36.46,22.93
"365230UAph - Aphroditia (Lakonia)",36.547,22.988
