1328,,,,,,,,,,,,,,,,,,
"Name","a","b","c","city","country","lat","long","source","vici_id","note","pleiades","dare","arach","livius","wikipedia","wikidata","Archis","http"
"Wachtturm 10-37b ""Schneidershecke""",,,," Mudau","DE",49.550064,9.128879,"Vici.org",9881,"Wachtturm 10-37b ""Schneidershecke"" umgebaut zum Tempel",,,,,,,,
"Mithräum (Güglingen)",,,," Güglingen","DE",49.061623,9.005662,"Vici.org",9968,"Mithräum (Güglingen)",,,,,,,,
"Tempelbezirk Cambodunum",,,," Kempten (Allgäu)","DE",47.727634,10.322745,"Vici.org",9969,"Tempelbezirk Cambodunum",,,,,,,,
"Römischer Podiumstempel (Badenweiler)",,,," Badenweiler","DE",47.801346,7.671381,"Vici.org",9970,"Römischer Podiumstempel (Badenweiler)",,,,,,,,
"Varnenum",,,," AC","DE",50.729584,6.193684,"Vici.org",10018,"Tempelbezirk Varnenum",109411,,,,"de=Varnenum",,,
"Mithras-Heiligtum (Gimmeldingen)",,,," Neustadt an der Weinstraße","DE",49.373943,8.157275,"Vici.org",10019,"Mithras-Heiligtum (Gimmeldingen)",,,,,,"Q1313072",,
"Mithras Heiligtum (Wachstein)",,,," Theilenhofen","DE",49.073357,10.832198,"Vici.org",10071,"Mithras Heiligtum (Wachstein)",,,,,,,,
"Heiligdom van Liberchies",,,," Pont-à-Celles","BE",50.512192,4.445921,"Vici.org",10083,"Heiligdom van Liberchies",,,,,,,,
"Dolichenum Vetoniana (Pfünz)",,,," Walting","DE",48.882706,11.263725,"Vici.org",10087,"Dolichenum Vetoniana (Pfünz)",,,,,,,,
"Heiligdom Kontich",,,," Kontich","BE",51.134045,4.4728,"Vici.org",10088,"Heiligdom Kontich",,,,,,,,
"Sanctuaire gallo-romain de Matagne-la-Grande",,,," Doische","BE",50.120857,4.610877,"Vici.org",10099,"Sanctuaire gallo-romain de Matagne-la-Grande",,,,,,,,
"Fanum Matagne-la-Petite",,,," Doische","BE",50.102436,4.636188,"Vici.org",10100,"Fanum Matagne-la-Petite",,,,,,,,
"Sanctuaire gallo-romain Les Hêtres St Martin",,,," Houffalize","BE",50.121304,5.865432,"Vici.org",10109,"Sanctuaire gallo-romain Les Hêtres St Martin. \r\nvillae. Later is ter plekke van deze tempel een christelijke kerkje gebouwd.",,,,,,,,
"Heiligdom Wijnegem",,,," Wijnegem","BE",51.234325,4.527566,"Vici.org",10111,"Heiligdom Wijnegem, een voorzetting van een voor-romeinse cultusplaats.",,,,,,,,
"Rock-cut temple in Wadi Sikait",,,," ","EG",24.630932,34.796879,"Vici.org",10143,"Grote tempel",,,,,,,,
"Kleine tempel",,,," ","EG",24.628716,34.796452,"Vici.org",10144,"Kleine tempel",,,,,,,,
"Kab Marfu'a tempel",,,," ","EG",24.544371,34.738388,"Vici.org",10149,"Tempel in Kab Marfu'a - 30 BC - AD 640",786046,,,,,,,
"Apollonopolis Magna",,,," ","EG",24.978476,32.873463,"Vici.org",10159,"Temple of Horus - 330 BC - 30 BC",785974,,,,,"Q613037",,
"Mammisi - Birthouse of the Devine Triad of Horus",,,," ","EG",24.976789,32.87294,"Vici.org",10160,"Mammisi - Birthouse of the Devine Triad of Horus",,,,,,,,
"Temple 'le Palais', Alba",,,," Alba-la-Romaine","FR",44.561203,4.600079,"Vici.org",10164,"Temple 'le Palais', Alba",,,,,,,,
"Temple of Augustus and Livia, Vienne",,,," Vienne","FR",45.525478,4.874246,"Vici.org",10170,"Temple of August  and Livia, Vienne",,202070,,,,,,
"Temple 'of the Cybele', Vienne",,,," Vienne","FR",45.524319,4.875925,"Vici.org",10172,"Temple 'of the Cybele', Vienne",,,,,,,,
"Sanctuaire du Cigognier",,,," Avenches","CH",46.882095,7.046378,"Vici.org",10199,"Sanctuaire du Cigognier\r\nSancturary Cigognier\r\nTempelanlage Cigognier",,,,,,,,
"Temple de la Grange des Dîmes",,,," Avenches","CH",46.882469,7.044755,"Vici.org",10200,"Temple de la Grange des Dîmes - \r\nGrange-des-Dîmes-Heiligtum",,,,,,,,
"Bergheiligtum Julierpass",,,," Silvaplana","CH",46.472153,9.727887,"Vici.org",10217,"Bergheiligtum Julierpass",,,,,,,,
"Stephanskapelle (Chur)",,,," Chur","CH",46.848202,9.536562,"Vici.org",10227,"Stephanskapelle (Chur)",,,,,,"Q1569953",,
"Gallo-römischer Tempel (Ufenau)",,,," Freienbach","CH",47.217949,8.778752,"Vici.org",10244,"Gallo-römischer Tempel (Ufenau)",187387,17286,,,,,,
"Gallo-römischer Tempel (Frenkendorf)",,,," Frenkendorf","CH",47.499649,7.676282,"Vici.org",10245,"Gallo-römischer Tempel (Frenkendorf)",,38727,,,,,,
"Tempel (Rapperswil-Jona)",,,," Jona SG","CH",47.23597,8.820664,"Vici.org",10257,"Tempel (Rapperswil-Jona)",,,,,,,,
"Bergheiligtum (Jettenbach)",,,," Jettenbach","DE",49.543842,7.561576,"Vici.org",10328,"Bergheiligtum (Jettenbach)",,,,,,,,
"Dianabild (Roppeviller)",,,," Roppeviller","FR",49.103539,7.52761,"Vici.org",10354,"Dianabild (Roppeviller)",,,,,,,,
"Mithraeum Pons Aeni",,,," Prutting","DE",47.895569,12.146881,"Vici.org",10422,"Mithraeum Pons Aeni",,,,,,,,
"Bir Abu Safa - tempel",,,," ","EG",23.301842,34.797028,"Vici.org",10468,"Bir Abu Safa - Tempel",,,,,,,,
"Mithräum (Riegel am Kaiserstuhl)",,,," Riegel am Kaiserstuhl","DE",48.150002,7.746531,"Vici.org",10471,"Mithräum (Riegel am Kaiserstuhl)",,,,,,,,
"Tempel von ""Mercurius Cimbrianus""",,,," Heidelberg","DE",49.425861,8.706383,"Vici.org",10493,"Tempel von ""Mercurius Cimbrianus""",,,,,,,,
"Fanum (volgens de legende)",,,," Wervik","BE",50.77813,3.043827,"Vici.org",10510,"Volgens 17e eeuwse geschiedschrijvers was hier een tempel ter ere van Mars.",,,,,,,,
"Tempel der Diana",,,," Nîmes","FR",43.839947,4.348574,"Vici.org",10622,"Tempel der Diana",,393010,,,,,,
"Gisacum",,,," Le Vieil-Évreux","FR",49.003063,1.235978,"Vici.org",10640,"Gisacum",109007,,,,,"Q2243148",,
"Merkur Tempel",,,," Niederbronn-les-Bains","FR",48.960583,7.616738,"Vici.org",10648,"Merkur Tempel",,39152,,,,,,
"Sanctuaire Gallo-Romain",,,," Villards-d'Héria","FR",46.423141,5.742032,"Vici.org",10659,"Sanctuaire Gallo-Romain",,,,,,,,
"Gallo-römischen Heiligtum - Mont Rive",,,," Équevillon","FR",46.76136,5.922335,"Vici.org",10661,"Gallo-römischen Heiligtum - Mont Rive",,,,,,,,
"Heiligtum (Flaviers - Mouzon)",,,," Mouzon","FR",49.580894,5.105447,"Vici.org",10663,"Heiligtum (Flaviers - Mouzon)",,20618,,,,,,
"Tempel Isarnodurum",,,," Izernore","FR",46.2234,5.558579,"Vici.org",10667,"Tempel Isarnodurum",177545,20105,,,,,,
"Tempel Novioregum",,,," Barzan","FR",45.535629,-0.879376,"Vici.org",10672,"Tempel Novioregum",,,,,,,,
