id,ancient_name,lat,long,name,pleiades,latlong,country,city
40734,,50.109177,7.123611,"Bergheiligtum, Calmont",,"50.109177,7.123611",DE, Bremm
40730,,48.407143,8.020556,"Bergheiligtum, Gengenbach",,"48.407143,8.020556",DE, Gengenbach
39153,,49.543842,7.561576,"Bergheiligtum, Jettenbach",,"49.543842,7.561576",DE, Jettenbach
18124,Canetonum,49.1733,0.621389,Berthouville,108852,"49.1733,0.621389",FR, Berthouville
37065,,53.999904,15.999978,Białęcino,20407,"53.999904,15.999978",PL, Białogard
19335,,49.297417,7.2925,Bierbach,,"49.297417,7.2925",DE, Homburg
22159,Philai/Philae,24.021732,32.888882,Bilaq,786089,"24.021732,32.888882",EG, 
38817,,46.013637,8.906038,Bioggio,,"46.013637,8.906038",CH, Bioggio
36947,,30.491327,14.710895,Bir es-Shawi,344321,"30.491327,14.710895",LY, 
36948,,31.349938,13.349962,Bir Nesma,344326,"31.349938,13.349962",LY, Nasmah
36575,,32.747678,22.391705,Bir Tarakenet,373759,"32.747678,22.391705",LY, Ayn Marrah
38832,,46.745881402,7.595799674,"Bischofsmatt, Allmendingen, Thun",,"46.745881402,7.595799674",CH, Thun
22642,,37.059181,14.263184,"Bitalemi, Gela",462114,"37.059181,14.263184",IT, Piana del Signore
37168,,41.67018,1.82419,"Boades, Castellgalí",246252,"41.67018,1.82419",ES, Castellgalí
20618,,49.580788,5.105463,"Bois communal du Flavier, Mouzon",,"49.580788,5.105463",FR, Mouzon
20762,,50.109268,4.592736,"Bois de Noel, Matagne-la-Grande",,"50.109268,4.592736",BE, Philippeville
26629,,49.816505,2.646559,"Bois Titran, Caix",,"49.816505,2.646559",FR, Caix
20847,,50.30086,6.83753,Bongard,,"50.30086,6.83753",DE, Bongard
45682,,46.74432,6.53707,"Boscéaz, Orbe",,"46.74432,6.53707",CH, Orbe
25689,,50.840035,-0.850708,Bosham,,"50.840035,-0.850708",GB, Bosham
39091,,48.049621,-1.900603,"Bouexière, Bréal-sous-Montfort",,"48.049621,-1.900603",FR, Bréal-sous-Montfort
44413,,51.991663,-0.939433,"Bourton Grounds, Buckingham",,"51.991663,-0.939433",GB, 
20159,,43.872317,2.636278,"Boutaran, Saint-Sernin-sur-Rance",,"43.872317,2.636278",FR, Saint-Sernin-sur-Rance
20752,,45.77855,3.143113,"Brézet, Clermont-Ferrand (1)",,"45.77855,3.143113",FR, Clermont-Ferrand
20753,,45.77855,3.143113,"Brézet, Clermont-Ferrand (2)",,"45.77855,3.143113",FR, Clermont-Ferrand
43197,,50.218475,7.2154,Brachtendorf,,"50.218475,7.2154",DE, Dünfus
26649,,49.94322,1.12279,Bracquemont,,"49.94322,1.12279",FR, Bracquemont
22845,Artemis Brauronia,37.926189,23.9937505,Brauron,579879,"37.926189,23.9937505",GR, 
25119,,37.971584,23.725421,Brauroneion,,"37.971584,23.725421",GR, Athina
25617,,51.324209,-3.015512,"Brean Down, Brean",79351,"51.324209,-3.015512",GB, Brean
12613,,45.4524901,6.5664689,Brides-les-Bains,167689,"45.4524901,6.5664689",FR, Brides-les-Bains
25489,,52.4617,-0.586992,Brigstock,79356,"52.4617,-0.586992",GB, Brigstock
36576,,32.818179,21.840833,Bu Darag,373762,"32.818179,21.840833",LY, Shahat
25408,,34.832042,67.826803,Buddhas of Bamiyan,,"34.832042,67.826803",AF, Bamyan
17570,,45.852879,4.583386,Bully,167695,"45.852879,4.583386",FR, Bully
20859,,49.9244951676,6.6182192606,"Burgberg, Sülm",,"49.9244951676,6.6182192606",DE, Sülm
42734,,46.549678,13.6604,"Burgruine Straßfried, Maglern, Arnoldstein",,"46.549678,13.6604",AT, Hohenthurn
37183,,34.103607,43.960471,Burj al-Qa'im,893965,"34.103607,43.960471",IQ, Samarra
19320,Porcetum,50.7634,6.091,Burtscheid,,"50.7634,6.091",DE, AC
25298,,37.0862074,14.8850216,Buscemi,462120,"37.0862074,14.8850216",IT, Buscemi
42221,,49.04524,1.57004,"Butte, Bennecourt",,"49.04524,1.57004",FR, Bennecourt
20837,,49.8091371677,6.6061575438,Butzweiler,,"49.8091371677,6.6061575438",DE, Newel
20855,,49.81667,6.61667,"Butzweiler, Pfarrkirche",,"49.81667,6.61667",DE, Newel
26182,,34.269932,35.821608,Bziza,668217,"34.269932,35.821608",LB, 
9021,[Sauriciacum],48.69783,5.63705,"Côte-Saint-Jean, Sorcy-Saint-Martin",,"48.69783,5.63705",FR, Sorcy-Saint-Martin
40134,,40.41958,-7.22432,Cabeço de Fráguas,,"40.41958,-7.22432",PT, 
45653,,53.137172,-4.262414,Caernarfon Mithraeum,,"53.137172,-4.262414",GB, Caernarfon
37169,,41.937187,2.760627,"Cal Temple, Aiguaviva",246277,"41.937187,2.760627",ES, Aiguaviva
26366,,46.44906,12.38042,Calalzo di Cadore,187333,"46.44906,12.38042",IT, Calalzo di Cadore
36588,Prepelaion?,38.13465,27.115106,Cambaz Tepe,550844,"38.13465,27.115106",TR, 
42673,Capitolium,41.8925778,12.4822154,"Campidoglio, Roma",422865,"41.8925778,12.4822154",IT, Roma
23753,,41.438889,14.508333,Campochiaro,432746,"41.438889,14.508333",IT, 
26597,,41.54559,12.73606,"Campoverde, Aprilia",422862,"41.54559,12.73606",IT, Campoverde
37170,,41.534533,2.389314,"Can Modolell, Cabrera de Mar",246287,"41.534533,2.389314",ES, Cabrera de Mar
39956,,38.7011,-5.68604,"Cancho Roano, Zalamea de la Serena",,"38.7011,-5.68604",ES, Zalamea de la Serena
42145,,38.23335,15.65506,"Cannitello, Villa San Giovanni",,"38.23335,15.65506",IT, Villa San Giovanni
36736,,40.42312,15.08216,Capaccio,442526,"40.42312,15.08216",IT, Capaccio
36644,Aphrodite Akraia,35.692703,34.586367,Cape Apostolos Andreas,707469,"35.692703,34.586367",,
36624,Parthenion? Akron,44.514846,33.491262,Cape Fiolent,226714,"44.514846,33.491262",,
22790,Apollo Leukatas,38.56339,20.54282,Cape Lefkatas,530806,"38.56339,20.54282",GR, 
36683,Athena,35.30699,26.312224,Cape Sidero,589718,"35.30699,26.312224",GR, 
41377,,45.5399911,10.2254991,"Capitolium, Brescia",,"45.5399911,10.2254991",IT, Brescia
36876,,38.95411,17.16869,"Capo Cimiti, Isola di Capo Rizzuto",452283,"38.95411,17.16869",IT, 
23187,Hera,39.028864,17.205128,"Capo Colonna, Crotone",452332,"39.028864,17.205128",IT, 
36737,,40.451058,15.042153,"Capo di Fiume, Capaccio",442527,"40.451058,15.042153",IT, Pietrale-capo di Fiume
26574,,42.16587,13.81295,"Capo Pescara, Popoli",413249,"42.16587,13.81295",IT, 
26462,,41.714422,14.29561,Carovilli,432759,"41.714422,14.29561",IT, Carovilli
26636,,49.90433,3.01797,Cartigny,,"49.90433,3.01797",FR, Cartigny
45656,,38.91114,-6.34111,"Casa del Mitreo, Mérida",,"38.91114,-6.34111",ES, Mérida
36878,,37.1401,13.98453,"Casalicchio, Licata",462134,"37.1401,13.98453",IT, 
37148,,43.12708,12.05024,Castiglione del Lago,413071,"43.12708,12.05024",IT, Castiglione del Lago
44410,,51.24904,1.344522,"Castle Fields, Worth",,"51.24904,1.344522",GB, Worth
20866,,49.303616,4.152483,Caurel,,"49.303616,4.152483",FR, Caurel
42926,,48.60445,1.64601,"Cavée du Moulin, Hanches",,"48.60445,1.64601",FR, Hanches
17219,Minerva Cabardiacensis,44.84342,9.51838,"Caverzago, Travo",383709,"44.84342,9.51838",IT, 
37001,,38.73277,-1.27022,"Cerro de los Santos, Montealegre del Castillo",265862,"38.73277,-1.27022",ES, Montealegre del Castillo
37152,,41.862522,12.533184,Cessati Spiriti,422892,"41.862522,12.533184",IT, Roma
39453,,43.372565,5.027046,"Château de Ponteau, Martigues",,"43.372565,5.027046",FR, Martigues
